Q,Description,Link,A
Maharashtra Old Age Pension Online Application Form 2024,Monthly pension scheme for senior citizens.,,Monthly pension scheme for senior citizens.   
Maharashtra Shravan Bal Seva Rajya Nivruttivetan Yojana 2024,State-sponsored pension scheme for destitute persons.,,State-sponsored pension scheme for destitute persons.   
Pradhan Mantri Mudra Yojana (PMMY) for MSMEs,Business loans for various industries under PMMY.,,Business loans for various industries under PMMY.   
Stand Up India Scheme for MSMEs,Supports bank loans for greenfield firms by SC/ST or female entrepreneurs.,,Supports bank loans for greenfield firms by SC/ST or female entrepreneurs.   
Pradhan Mantri Employment Generation Program for MSMEs,Program by KVIC for employment generation in business/service sector.,,Program by KVIC for employment generation in business/service sector.   
Industrial Promotion Subsidy (IPS) for MSMEs,Incentive subsidy for MSME units based on taluka classification.,,Incentive subsidy for MSME units based on taluka classification.   
Interest Subsidy for MSMEs,Subsidy on interest paid on term loans for acquiring fixed assets.,,Subsidy on interest paid on term loans for acquiring fixed assets.   
Exemption from Electricity Duty for MSMEs,Exemption from electricity duty in specified areas for eligible new units.,,Exemption from electricity duty in specified areas for eligible new units.   
Waiver of Stamp Duty for MSMEs,Exemption from paying stamp duty on land acquisition and term loan purposes.,,Exemption from paying stamp duty on land acquisition and term loan purposes.   
Power Tariff Subsidy for MSMEs,Power tariff subsidies for newly established MSMEs.,,Power tariff subsidies for newly established MSMEs.   
TN Labour Online Registration/Application,Unorganized sector workers can register online.,https://www.labour.tn.gov.in,Unorganized sector workers can register online.   https://www.labour.tn.gov.in
TNPDS Tamil Nadu Smart Ration Card Status,Conversion of ration cards to smart cards.,https://tnpds.gov.in,Conversion of ration cards to smart cards.   https://tnpds.gov.in
Tamil Nadu Credit Guarantee Scheme (TNCGS) for MSMEs,"Financial aid to MSMEs, reducing the need for loan collateral.",https://sarkariyojana.com,"Financial aid to MSMEs, reducing the need for loan collateral.   https://sarkariyojana.com"
Tamil Nadu Online Sand Booking & Vehicle Registration (TNSAND),Online system for sand booking and vehicle registration.,https://www.tnsand.in,Online system for sand booking and vehicle registration.   https://www.tnsand.in
TN Illam Thedi Kalvi Scheme,Focuses on reducing the learning gap for children in classes 1 to 8.,https://illamthedikalvi.tnschools.gov.in,Focuses on reducing the learning gap for children in classes 1 to 8.   https://illamthedikalvi.tnschools.gov.in
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Provides nutrition kits to pregnant women.,https://sarkariyojana.com,Provides nutrition kits to pregnant women.   https://sarkariyojana.com
Puthumai Penn Scheme,Monthly scholarship for girl students from government schools.,https://penkalvi.tn.gov.in,Monthly scholarship for girl students from government schools.   https://penkalvi.tn.gov.in
Naan Mudhalvan Scheme,Skill development for youth.,https://naanmudhalvan.tn.gov.in,Skill development for youth.   https://naanmudhalvan.tn.gov.in
TN Kalaignar Magalir Urimai Thogai Scheme,Financial assistance to female heads of families.,https://sarkariyojana.com,Financial assistance to female heads of families.   https://sarkariyojana.com
Annal Ambedkar Business Champion Scheme,Economic development scheme for SC/ST individuals.,https://sarkariyojana.com,Economic development scheme for SC/ST individuals.   https://sarkariyojana.com
Pradhan Mantri Awas Yojana (PMAY),Provides affordable housing,https://pmaymis.gov.in,Provides affordable housing   https://pmaymis.gov.in
Pradhan Mantri Garib Kalyan Anna Yojna,Ensures food security,https://pmgkay.gov.in,Ensures food security   https://pmgkay.gov.in
Meri Policy Mere Hath,Focuses on insurance or personal finance management,,Focuses on insurance or personal finance management   
Rashtriya Uchchatar Shiksha Abhiyan,Improves higher education,https://mhrd.gov.in/rusa,Improves higher education   https://mhrd.gov.in/rusa
Support for Marginal Individuals for Livelihood and Enterprise (SMILE),Supports livelihoods and small businesses,,Supports livelihoods and small businesses   
Jal Jeevan Yojana,Provides water supply to every household,https://jaljeevanmission.gov.in,Provides water supply to every household   https://jaljeevanmission.gov.in
Jalshakti Abhiyan 2022,Mission for water conservation,https://jalshakti-ddws.gov.in,Mission for water conservation   https://jalshakti-ddws.gov.in
Ayushman Bharat Yojana,Healthcare insurance coverage,https://pmjay.gov.in,Healthcare insurance coverage   https://pmjay.gov.in
Pradhan Mantri Kisan Samman Nidhi Yojana,Support for farmers,https://pmkisan.gov.in,Support for farmers   https://pmkisan.gov.in
Swachh Bharat Abhiyan,Nationwide cleanliness campaign,https://swachhbharatmission.gov.in,Nationwide cleanliness campaign   https://swachhbharatmission.gov.in
Digital India,Digital infrastructure and services,https://digitalindia.gov.in,Digital infrastructure and services   https://digitalindia.gov.in
Make in India,Promotes manufacturing in India,https://www.makeinindia.com,Promotes manufacturing in India   https://www.makeinindia.com
"Beti Bachao, Beti Padhao",Focuses on the welfare of girls,https://wcd.nic.in/bbbp-schemes,Focuses on the welfare of girls   https://wcd.nic.in/bbbp-schemes
Skill India,Skill development initiative,https://www.skillindia.gov.in,Skill development initiative   https://www.skillindia.gov.in
Start-up India Programme,Encouraging entrepreneurship and startups,https://www.startupindia.gov.in,Encouraging entrepreneurship and startups   https://www.startupindia.gov.in
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Provides pension to senior citizens living below poverty line,https://www.myscheme.gov.in,Provides pension to senior citizens living below poverty line   https://www.myscheme.gov.in
Svamitva Yojana,Mapping of properties in villages with drones to reduce property disputes,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Mapping of properties in villages with drones to reduce property disputes   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Garib Kalyan Rojgar Abhiyaan,Employment campaign for the poor post-COVID-19 pandemic,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Employment campaign for the poor post-COVID-19 pandemic   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
PM Matsya Sampada Yojana (PMMSY),Welfare measures for farmers in the fisheries sector,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Welfare measures for farmers in the fisheries sector   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Jal Jeevan Mission,To provide water to each rural household through individual taps,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,To provide water to each rural household through individual taps   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Atal Bhujal Yojana,Improves groundwater management focusing on Panchayats,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Improves groundwater management focusing on Panchayats   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
PM KUSUM Scheme,Installation of solar pumps and renewable power plants for farmers,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Installation of solar pumps and renewable power plants for farmers   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
PM Shram Yogi Mandhan,Social security scheme for the unorganized sector with pension benefits,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Social security scheme for the unorganized sector with pension benefits   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
PM Annadata Aay Sanrakshan Abhiyan,Farmer welfare through profitable ecosystem for selected products,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Farmer welfare through profitable ecosystem for selected products   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Ayushman Bharat Yojana,Healthcare access for 50 crore people,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Healthcare access for 50 crore people   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
TN Amma Two-Wheeler Scheme,Empowering working women with subsidies for two-wheelers,https://www.tn.gov.in,Empowering working women with subsidies for two-wheelers   https://www.tn.gov.in
Tamil Nadu Free Laptop Scheme,Free laptops to students for digital learning,https://www.tn.gov.in,Free laptops to students for digital learning   https://www.tn.gov.in
TN Chief Minister Comprehensive Health Insurance Scheme,Medical insurance coverage for Tamil Nadu residents,https://www.tn.gov.in,Medical insurance coverage for Tamil Nadu residents   https://www.tn.gov.in
TN Free Bicycle Scheme,Distributing bicycles to students in government and aided schools,https://www.tn.gov.in,Distributing bicycles to students in government and aided schools   https://www.tn.gov.in
Tamil Nadu Free Sewing Machine Scheme,Free sewing machines for women and differently-abled for self-employment,https://www.tn.gov.in,Free sewing machines for women and differently-abled for self-employment   https://www.tn.gov.in
TN Illam Thedi Kalvi Scheme,Aims to reduce the learning gap for children from classes 1 to 8 through education at doorsteps.,http://illamthedikalvi.tnschools.gov.in,Aims to reduce the learning gap for children from classes 1 to 8 through education at doorsteps.   http://illamthedikalvi.tnschools.gov.in
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,"Provides Amma Maternity Nutrition Kit to pregnant women, emphasizing advanced healthcare.",,"Provides Amma Maternity Nutrition Kit to pregnant women, emphasizing advanced healthcare.   "
TNSAND,Online sand booking portal for transparency in sand procurement.,http://www.tnsand.in,Online sand booking portal for transparency in sand procurement.   http://www.tnsand.in
